	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
WWTR1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
XBP1	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3
XPA	3	4	4	4	3	3	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	3	4	3	3	3	3	4	4	4	4	4	3	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	3	3	4	3	4	3	4	4	4	3	4	3	4	3	4	4	3	4	4	3	3	4	4	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4
XRCC1	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3
YAP1	3	3	2	3	3	2	3	3	3	3	3	3	4	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	3	3	3	3	3	3	3	3	4	3	2	3	3	3	2	3	3	3	3	3	4	3	3	3	3	3	3	3	2	3	3	3	2	3	3	2	3	2	4	3	3	3	2	2
YBX1	3	3	3	3	3	3	3	3	2	3	3	3	3	2	2	3	2	2	2	3	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	2	3	3	3	2	3	3	2	3	3	3	3	3	3	2	3	3	3	3	2	3	2	3	2	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	2	2	2
YES1	3	3	3	4	3	3	4	3	4	4	3	3	4	4	3	3	4	4	3	3	4	4	3	4	3	3	3	3	4	3	4	4	4	3	4	4	3	4	3	3	4	3	3	4	4	4	4	4	4	4	4	3	3	4	3	3	3	4	4	3	3	4	3	4	3	4	4	3	4	4	3	3	4	3	4	4	4	3	4	3	3	3	3	4	3	3	4	3	3
YWHAB	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	4	2	2	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	4	2	3	3	2	4	4	3	3	4	3	3	3	3	3	2	3	3	3	2	3	4	3	2	3	3	3	3	2	3	3	3	3	3	2	2	3	3	3	4	3	3	2	3	3
YWHAE	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3
YWHAZ	3	3	3	3	3	3	3	3	2	3	3	3	3	2	2	3	2	2	2	3	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	2	3	3	4	2	3	3	2	3	3	3	3	3	3	2	3	3	3	3	2	3	2	3	2	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	2	2	2
ZAP70	4	4	3	4	4	3	4	4	4	4	4	4	5	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	5	4	4	4	4	4	4	4	3	4	4	4	3	4	4	3	4	3	4	4	4	4	3	3
