	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
ABL1	0.00376972833097	0.00406622369517	0.00677340556624	0.00931735331321	0.00408439728783	0.0063710312578	0.00403901167057	2.81960910753e-05	0.00428358358642	0.00405700425939	0.00376050889519	0.00417210263941	0.00414489061481	7.5644944453e-05	0.000102856969055	0.00374329346867	0.00438946253066	7.5644944453e-05	0.000271783940451	0.00662544402337	0.00529633423146	0.00930124738307	0.00406829135768	0.00414587468128	4.53856172584e-05	7.25976418604e-05	0.00374251630637	0.000289957533107	0.000262564504669	0.00790685659407	0.000244571915849	0.00552291355849	1.89766552935e-05	0.00788740692118	0.00402290574042	0.008061917411	2.72120246021e-05	7.66290109262e-05	2.72120246021e-05	0.00530555366724	0.00403999573705	4.63696837315e-05	0.00267390056869	9.84066473187e-07	0.00416288320363	0.00426747765627	0.00818390228538	0.00535398658709	0.0040238898069	0.00942323225745	0.00527834164264	0.00398708822222	0.00902085794901	1.79925888203e-05	0.000121030561711	0.00264650754025	6.33782060787e-05	0.00527932570911	9.84066473187e-07	0.00665142069186	0.00778152797694	0.000244571915849	0.00374350037284	0.00816779635523	0.00419027623207	0.00414489061481	0.000245555982322	0.00776542204679	0.00422053555926	0.00403901167057	0.00381816125082	0.00374251630637	0.00402290574042	0.00265572697603	9.36375332734e-05	0.00411465661503	0.000244571915849	0.00262851495143	0.00404089832924	0.00405011776503	0.00262851495143	0.0053237272599	0.0026294990179	1.79925888203e-05	4.52046134224e-05	4.53856172584e-05	0.00409855068488	0.00287308686728	0.00270415989588
ACACA	6.00359242877e-06	2.53443660329e-05	2.55349746995e-05	2.39945617802e-05	6.3772727753e-05	2.89305025731e-05	2.39883064045e-05	1.40535146729e-06	2.52430682457e-05	2.39897391817e-05	4.64896557754e-06	2.60806455513e-06	1.25200492672e-06	8.70026726282e-07	2.22608635469e-06	4.34634665001e-05	2.50676676797e-06	8.70026726282e-07	2.61082146966e-06	2.43946350757e-05	7.68815292633e-09	7.21375362626e-07	4.04995413354e-05	1.30129676559e-06	3.97844213485e-05	4.11404809769e-05	4.64753280036e-06	4.10391831898e-05	1.25619461842e-06	2.42892251485e-05	1.25476184125e-06	1.261017217e-06	5.07246160509e-08	5.89953772708e-06	7.15119986876e-07	2.47034263914e-05	1.35605962841e-06	9.19318565157e-07	1.35605962841e-06	1.36231500416e-06	2.40375982434e-05	3.98337131874e-05	6.40673911213e-05	4.92918388742e-08	1.2534377039e-06	1.96988182812e-06	2.52403113312e-05	8.76282102032e-07	7.64411825751e-07	1.25826030247e-06	6.25537574961e-09	5.90229464161e-06	4.65378817611e-06	1.43277717672e-09	4.06544480748e-05	2.42844025499e-05	3.97858541257e-05	5.55472146238e-08	4.92918388742e-08	2.49980897596e-05	2.86358392048e-05	1.25476184125e-06	4.69682463924e-06	1.9671249136e-06	4.10364262752e-05	1.25200492672e-06	1.30405368012e-06	5.36265278724e-06	2.122031653e-06	2.39883064045e-05	5.51755952664e-06	4.64753280036e-06	7.15119986876e-07	2.56390294012e-05	8.71459503459e-07	2.48583331308e-05	1.25476184125e-06	2.42829697728e-05	7.16552764053e-07	2.07117961529e-06	2.42829697728e-05	3.97906767243e-05	2.43322616116e-05	1.43277717672e-09	1.35749240559e-06	3.97844213485e-05	1.58514671316e-06	2.5537731614e-05	2.5152996499e-05
ACACB	2.25604624625e-05	0.00728161347641	0.00470199725432	0.00729953537798	0.00729098566964	0.00466746555421	0.00728135970968	4.42145583448e-07	0.0170662087681	0.00731381115924	5.47581452943e-05	5.70921625723e-05	5.68383958354e-05	1.01097719588e-05	1.03635386957e-05	2.25304023835e-05	0.00984168745421	1.01097719588e-05	0.00978510282511	0.0119042855004	5.06271178748e-05	8.89739096811e-05	8.04242013362e-05	5.7026774682e-05	9.6259599612e-06	9.87972669809e-06	2.23066957256e-05	0.00979447501834	0.00981730050794	0.00466333452679	0.00978484905837	0.00980302472668	3.26398284153e-05	7.9145091561e-05	7.0798241375e-05	0.00735215795105	2.53766736881e-07	1.02981508054e-05	2.53766736881e-07	1.8429435043e-05	0.00728154808852	9.81433880777e-06	0.00465478481844	1.88378846567e-07	8.92898454042e-05	0.00985564729975	0.00733819810551	2.82854402649e-05	7.09866202216e-05	7.50140641415e-05	1.81756683061e-05	0.0098071557541	4.04823640317e-05	3.24514495688e-05	1.973573192e-05	0.00467761030805	4.207740953e-05	1.83640471526e-05	1.88378846567e-07	0.00471595709986	0.0073036664054	0.00978484905837	2.24950745721e-05	0.00012763663721	6.64643557966e-05	5.68383958354e-05	0.00978503743722	9.31049371006e-05	6.69481677942e-05	0.00728135970968	3.24164676844e-05	2.23066957256e-05	7.0798241375e-05	0.00464541262522	4.25612215276e-05	0.00729146948163	0.00978484905837	0.00464515885848	0.000103249690944	7.10520081119e-05	0.00464515885848	2.78016282673e-05	0.00464534723733	3.24514495688e-05	3.27052163056e-05	9.6259599612e-06	8.09080133338e-05	0.0144300079169	0.00465526863044
ACTB	0.00262155801975	0.00547946072824	7.89053274509e-05	0.0054898887388	0.0081046548527	0.00267545709228	0.00547877653131	2.43362261137e-05	0.00550188754061	0.00547881994638	0.00262091723789	2.50062549144e-05	2.43220579867e-05	1.00809148033e-06	1.6922884081e-06	0.00262828451388	4.7433067288e-05	1.00809148033e-06	2.37952062291e-05	0.00548821051764	1.11556225627e-05	4.7129168603e-05	0.0026618952825	4.79740871726e-05	0.00262587832139	0.00262656251832	0.00262087382282	0.00264898933069	2.3154424371e-05	6.56954769573e-05	2.31110093013e-05	3.42232167944e-05	2.36954442556e-05	0.0026451958808	3.60169611099e-05	0.00551479349242	6.84196927764e-07	2.46601206662e-05	6.84196927764e-07	1.17964044208e-05	0.0055024285605	0.00264953035058	0.00268046159086	2.36520291859e-05	2.43654730563e-05	5.91279704113e-05	0.0055030985893	1.21202989734e-05	5.96689902958e-05	3.54342654797e-05	1.1112207493e-05	0.00264398483212	0.00263198603031	4.34150696477e-08	0.00262688641287	5.46266845339e-05	0.00262592173646	3.47642366789e-05	2.36520291859e-05	9.06002305742e-05	0.00809965035413	2.31110093013e-05	0.002644525852	6.03390190966e-05	0.00265020037938	2.43220579867e-05	4.67630384872e-05	0.00265689078393	2.5330149467e-05	0.00547877653131	0.0026218819143	0.00262087382282	3.60169611099e-05	5.5267466392e-05	1.05150654998e-06	0.00547978462279	2.31110093013e-05	5.45832694642e-05	3.60603761796e-05	3.67011580377e-05	5.45832694642e-05	0.00263699052889	7.82352986501e-05	4.34150696477e-08	7.27611997411e-07	0.00262587832139	3.70250525903e-05	7.76942787656e-05	5.55913609446e-05
AGFG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKT1	0.00377169060138	0.00564688844225	0.00530612523328	0.00208981532107	0.00535996710437	0.00230621986474	0.00207097273338	0.00794495085722	0.914576188565	0.00207128375982	0.000196085918946	0.00677159596992	0.00319568026105	0.912454374476	0.916030290185	0.00339630577447	0.915700896093	0.912454374476	0.91608113154	0.00213740694943	1.9153614122e-05	0.0131837302512	0.0164538820345	0.0075647154094	0.00328899437099	0.00686491007986	0.000195774892509	0.915794210203	0.912505526858	0.00212928755992	0.912505215832	0.912524058419	0.00436934617479	0.00339145515356	0.0131648876635	0.0152358603969	0.00357591570887	0.916823409624	0.00357591570887	0.00359475829656	0.00644000788173	0.00765802951934	0.00539943934322	0.00436903514835	0.00319599128749	0.925670103495	0.00526665299443	0.912473217064	0.0175339228118	0.00321452284874	1.88425876847e-05	0.912700990724	0.000214617480193	3.11026437327e-07	0.915743368847	0.00211075599867	0.00328930539743	0.00438787773603	0.00436903514835	0.0152753326357	0.00226674762589	0.912505215832	0.00456481004086	0.0163605679246	0.00648467463204	0.00319568026105	0.91687425098	0.013360662556	0.915650054737	0.00207097273338	0.912650149369	0.000195774892509	0.0131648876635	0.0056863606811	0.912454685502	0.914525347209	0.912505215832	0.00211044497223	0.0131651986899	0.0167408033724	0.00211044497223	0.00330783695867	0.00647948012058	3.11026437327e-07	0.00357622673531	0.00328899437099	0.92561926214	0.914615660804	0.914564819448
AKT1S1	0.0121792368732	0.0122232125076	8.75972574047e-05	4.68853931168e-05	9.36565324403e-05	4.98761847999e-05	4.65807741006e-05	0.0122795813884	0.00674889000925	4.65835842679e-05	2.60794988241e-06	0.0122169579458	4.03262123201e-05	0.00670193641677	0.0188785681503	4.8647393262e-05	0.00674263544747	0.00670193641677	0.0188789409686	4.73778624509e-05	3.07429183424e-07	4.8381972005e-05	9.51531113284e-05	0.000143275867271	4.70757583396e-05	0.0122237074918	2.60513971519e-06	0.00674938499349	0.00670231204532	4.75756641009e-05	0.00670230923515	0.00670261385417	0.000102952465118	4.29313520352e-05	4.80773529888e-05	9.46581270895e-05	0.0121766317335	0.00680488607172	0.0121766317335	0.0121769363525	0.000149530429052	0.000150025413291	9.43468034243e-05	0.000102949654951	4.03290224873e-05	0.00675038658814	8.69069864207e-05	0.00670224103578	0.00015102700794	4.06308313363e-05	3.04619016198e-07	0.00670491437487	2.90975873138e-06	2.81016722633e-09	0.00674901217511	4.72738552519e-05	4.70785685068e-05	0.000103254273967	0.000102949654951	9.53483980735e-05	4.91859138158e-05	0.00670230923515	0.000105554794666	8.84035653089e-05	8.74019706597e-05	4.03262123201e-05	0.0068052588901	5.0682492704e-05	0.00674226262909	4.65807741006e-05	0.00670454155648	2.60513971519e-06	4.80773529888e-05	0.0122239027786	0.00670193922694	0.00674851719087	0.00670230923515	4.72710450847e-05	4.8080163156e-05	0.0122247090865	4.72710450847e-05	4.73803773558e-05	0.000150220700036	2.81016722633e-09	0.0121766345437	4.70757583396e-05	0.00675001376976	0.00674958028024	0.00674920746185
AKT2	6.4962207487e-05	5.41848307219e-05	6.91356418043e-05	7.93684478254e-05	7.73234085437e-05	0.000108986308227	4.09959492997e-05	2.91336756553e-05	0.911665427604	4.10726620387e-05	5.18500388038e-05	2.51115410648e-05	1.19226596426e-05	0.911586259163	0.911599448045	6.35849356294e-05	0.911636354315	0.911586259163	0.911637620536	5.73651280726e-05	3.84492112648e-05	0.000131880711175	0.000129835671894	2.78674538758e-05	3.6327459244e-05	4.95163406662e-05	5.17733260648e-05	0.911660759114	0.911624508368	9.55854806874e-05	0.911624431655	0.911662804153	1.60215069721e-05	6.36959857075e-05	9.35082126495e-05	0.000134504161949	1.31888814222e-05	0.911602203958	1.31888814222e-05	5.1561379948e-05	5.69407435328e-05	5.22722534771e-05	9.35404414057e-05	1.59447942331e-05	1.19993723816e-05	0.911717939868	5.29186089423e-05	0.911624631662	0.000109453006883	5.02951581684e-05	3.83724985258e-05	0.911676204981	9.01458245906e-05	7.67127390106e-08	0.911622586623	5.72896949007e-05	3.6404171983e-05	5.43172927589e-05	1.59447942331e-05	0.000150721194811	9.27692753645e-05	0.911624431655	6.7718120298e-05	0.000105430872292	4.82501188866e-05	1.19226596426e-05	0.911640376449	0.000145281538714	0.911598181823	4.09959492997e-05	0.91163803249	5.17733260648e-05	9.35082126495e-05	7.04018635839e-05	0.911586335876	0.911627255113	0.911624431655	5.72129821617e-05	9.35849253885e-05	0.000106697094072	5.72129821617e-05	7.46999577697e-05	7.31577763948e-05	7.67127390106e-08	1.32655941612e-05	3.6327459244e-05	0.911679767376	0.911681644637	0.911643472146
AKT3	6.5668795393e-05	9.97672899766e-05	9.29936743196e-05	3.54874696859e-05	3.60477126263e-05	3.75459179441e-05	3.54846829278e-05	0.00014373682294	0.905113686327	3.54870763112e-05	1.38858172763e-06	0.000121116551768	5.68339447196e-05	0.905077908462	0.905142191069	1.50466380951e-06	0.905135035589	0.905077908462	0.905142484251	3.616258803e-05	5.18014158845e-09	7.9415574075e-07	1.35439868113e-06	0.000136288160611	5.63029698538e-07	6.48456367473e-05	1.3861883442e-06	0.905078764674	0.905078204037	3.61625163581e-05	0.905078201644	0.905078204431	7.94566092746e-05	5.82201330638e-05	7.9136898259e-07	3.62760519104e-05	6.42826070488e-05	0.905157362678	6.42826070488e-05	6.4285393807e-05	0.000114938898819	8.00172455897e-05	3.67227592985e-05	7.94542158911e-05	5.68363381031e-05	0.905078993013	9.23186276474e-05	0.905077911248	8.02455848737e-05	5.68367314778e-05	2.78675816027e-09	0.905079587832	1.38897510236e-06	2.39338342818e-09	0.905078471491	3.61621229834e-05	5.65423081966e-07	7.94570026493e-05	7.94542158911e-05	3.69510985825e-05	3.6870871272e-05	0.905078201644	8.08404042353e-05	5.76253137022e-05	5.73969744182e-05	5.68339447196e-05	0.90515765586	2.17755732679e-06	0.905134742406	3.54846829278e-05	0.90507929465	1.3861883442e-06	7.9136898259e-07	0.000100442336649	0.905077910855	0.905113393145	0.905078201644	3.61597295999e-05	7.93762366018e-07	6.50739760314e-05	3.61597295999e-05	5.65816456698e-07	0.000115613945491	2.39338342818e-09	6.42850004322e-05	5.63029698538e-07	0.905078699831	0.905114361374	0.905114068191
AMH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANXA1	0.00328904827471	0.000124486375226	0.000133844227705	0.000150871852821	0.00340023050951	0.00341545350581	0.000123772115061	1.57387127807e-05	0.000164212597377	0.00012382681735	0.00328838871683	7.43899659676e-06	6.72473643163e-06	2.7707128558e-05	2.84213887232e-05	0.00329771310397	4.71652187471e-05	2.7707128558e-05	4.11547424806e-05	0.000135506096744	2.71544400486e-05	0.000126955014605	0.0033763136713	2.17491890472e-05	0.00327645839445	0.00327717265462	0.00328833401454	0.00331689887677	4.04951846042e-05	0.000154219229033	4.04404823154e-05	6.75402200753e-05	1.50791549043e-05	0.00329505875097	9.98552768451e-05	0.000223627391906	7.14260165131e-07	4.27315811736e-05	7.14260165131e-07	2.7813997925e-05	0.000138796567677	0.00329148284707	0.00340357788572	1.50244526156e-05	6.77943872039e-06	0.000140295759161	0.000130496851493	5.48068663179e-05	0.000114879729461	3.38244741915e-05	2.70997377599e-05	0.00332877449686	0.0033154337523	5.47022887599e-08	0.00330416552301	0.000127174193562	0.00327651309674	4.21241903754e-05	1.50244526156e-05	0.000226974768118	0.0034121061296	4.04404823154e-05	0.00330335846716	0.000106580013277	0.00328318313088	6.72473643163e-06	5.5464934931e-05	0.00338818929139	3.44318649897e-05	0.000123772115061	0.0033160411431	0.00328833401454	9.98552768451e-05	0.000127833751438	2.77618308468e-05	0.000151479243619	4.04404823154e-05	0.000127119491273	9.99099791338e-05	0.00010056953701	0.000127119491273	0.00330355813221	0.000142143943889	5.47022887599e-08	7.68962453891e-07	0.00327645839445	0.000127562405403	0.000167559973589	0.000154826619831
ANXA7	0.0188763755387	1.13808292004e-06	9.53604448691e-07	1.91064696368e-06	1.02654151151e-06	0.0188767700524	6.95529445749e-07	4.47708896898e-07	1.57940413835e-06	6.96395179476e-07	0.0188759338509	5.59090691545e-07	1.16537217254e-07	7.43222643811e-07	1.1857761181e-06	0.0188759358429	1.00041190986e-06	7.43222643811e-07	1.32642816689e-06	9.41321825531e-07	1.21598325166e-06	7.11183426758e-05	7.02342372237e-05	1.21692639861e-07	3.31012065757e-07	7.73565540048e-07	0.0188759329852	1.21488675836e-06	8.84740426329e-07	2.05218474937e-06	8.83874692602e-07	2.09899221054e-06	6.02115633374e-09	0.0188760495224	6.99032251579e-05	7.05987546037e-05	4.42553474291e-07	7.48378066417e-07	4.42553474291e-07	1.65767099222e-06	7.00684868356e-07	3.36167488364e-07	1.16807929719e-06	5.15542260674e-09	1.17402950981e-07	7.07870998505e-05	8.12066663004e-07	1.95834016174e-06	6.99083805805e-05	1.33165473519e-06	1.21511751793e-06	0.0188768168599	0.0188771481027	8.65733727001e-10	1.07423470957e-06	8.37932965164e-07	3.31877799484e-07	1.22027294054e-06	5.15542260674e-09	7.07402923893e-05	0.0188766285146	8.83874692602e-07	0.0188759381406	7.00197623752e-05	4.47549283012e-07	1.16537217254e-07	8.89030115208e-07	0.0189458362104	8.59759861065e-07	6.95529445749e-07	0.0188766762078	0.0188759329852	6.99032251579e-05	1.27962070573e-06	7.44088377538e-07	1.43875208956e-06	8.83874692602e-07	8.37067231437e-07	6.99040908916e-05	7.03457786322e-05	8.37067231437e-07	1.54612958369e-06	8.42222654044e-07	8.65733727001e-10	4.43419208018e-07	3.31012065757e-07	7.06464478017e-05	1.72094192404e-06	1.58028987525e-06
AR	3.65970228417e-05	6.48263932221e-05	6.52626516001e-05	4.67874667261e-05	0.000119981990122	2.96063853114e-05	4.66646820729e-05	4.04824877236e-05	0.00931980208439	4.66663870147e-05	1.84370166343e-05	7.22532891305e-05	5.40915779812e-05	0.00927273174184	0.00929089345299	7.37207271244e-05	0.0093272289803	0.00927273174184	0.00929129911346	4.71488088366e-05	1.24489595096e-07	6.7982043334e-05	0.00014117656673	7.64123545556e-05	7.33173080493e-05	9.14790191985e-05	1.84353116925e-05	0.00934645471037	0.00927313910726	1.12938582721e-05	0.00927313740232	0.00927326018697	2.23224815162e-05	7.25268896737e-05	6.78592586807e-05	0.000114523940754	1.81617111492e-05	0.00929505251841	1.81617111492e-05	1.82844958025e-05	6.89854586473e-05	9.56380846237e-05	8.44883816682e-05	2.23207765744e-05	5.40932829231e-05	0.009340996661	0.000100756260054	0.00927285452649	9.01800352551e-05	5.42143626345e-05	1.22784653256e-07	0.00929157271401	1.85580963457e-05	1.70494184016e-09	0.00934604904989	1.11727785607e-05	7.33190129911e-05	2.24435612277e-05	2.23207765744e-05	7.90303322996e-05	6.50999937654e-05	0.00927313740232	4.07560882669e-05	0.000121950836662	0.000127408886031	5.40915779812e-05	0.00929545817889	8.62945703732e-05	0.00932682331982	4.66646820729e-05	0.00929116705353	1.84353116925e-05	6.78592586807e-05	2.93327847681e-05	0.00927273344678	0.00931939642391	0.00927313740232	1.11710736189e-05	6.78609636226e-05	8.602096983e-05	1.11710736189e-05	7.34400927025e-05	3.34918501933e-05	1.70494184016e-09	1.81634160911e-05	7.33173080493e-05	0.00934059100052	0.00928430847593	0.00928390281546
ARAF	7.04123125301e-07	4.59125548866e-05	0.00755740847679	4.5904150832e-05	4.65740028065e-05	0.00754526833876	4.58312614741e-05	1.54155475521e-07	8.07756683427e-05	9.88024132213e-05	5.359398146e-05	1.28442611564e-05	1.27629677438e-05	4.75364578458e-07	5.56657991019e-07	8.74542961349e-07	4.77073746125e-05	4.75364578458e-07	3.50257002812e-05	0.00759003522809	5.30440411052e-05	1.24493745361e-05	1.31192265107e-05	1.28358298068e-05	7.42741332449e-07	8.2403474501e-07	6.22829712739e-07	3.56871482011e-05	8.79155586159e-05	0.00754471839841	3.49444068687e-05	3.50172962266e-05	5.30440138102e-05	1.33857974566e-05	1.23764851782e-05	5.82077466523e-05	8.12934125613e-08	5.48226641417e-07	8.12934125613e-08	1.5418277048e-07	4.5904123537e-05	8.15603395408e-07	0.00754538825038	7.28620629593e-08	6.57341194911e-05	4.73208920469e-05	5.85942292179e-05	5.48253936376e-07	1.24493472412e-05	1.28358571018e-05	7.28893579183e-08	3.55672365814e-05	6.95719070658e-07	5.29711517473e-05	1.21810591091e-06	0.0075976166608	5.37138930797e-05	1.45751420878e-07	7.28620629593e-08	0.00755702199423	4.64540911868e-05	3.49444068687e-05	6.95691775699e-07	2.5139452922e-05	1.35057090763e-05	1.27629677438e-05	3.50172689316e-05	1.29993148909e-05	1.32383323223e-05	4.58312614741e-05	1.0981942912e-06	6.22829712739e-07	1.23764851782e-05	0.00754472680246	5.34465163257e-05	4.63066260525e-05	3.49444068687e-05	0.00754464550905	6.53476369255e-05	1.24577785908e-05	0.00754464550905	8.15630690367e-07	0.00754471837111	5.29711517473e-05	5.30524451598e-05	7.42741332449e-07	1.28518497567e-05	0.00757958991592	0.00754512087363
ARID1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATM	0.000900053633568	0.00806914971885	0.00581579301099	0.00803252508421	0.0112076668671	0.00659679389762	0.00799338379197	8.7113034098e-05	0.0115175372303	0.00799376336036	0.000824667275082	0.000119052746936	4.32868200556e-05	0.000103472315647	0.000179238242528	0.00329289916641	0.00356744025843	0.000103472315647	0.00359991936526	0.00807435049261	3.95208606403e-05	0.00420937844982	0.00738452023272	5.46339272726e-05	0.00321428307514	0.00329004900203	0.000824287706687	0.00673843651352	0.00352453300677	0.00581164748318	0.00352415343838	0.00356329473062	1.17266756113e-05	0.000867574526743	0.00417023715758	0.0121636209495	7.57659268809e-05	0.000114819422864	7.57659268809e-05	0.000114907219127	0.00800473089918	0.00322563018236	0.00898678926608	1.13471072171e-05	4.36663884499e-05	0.00769439059595	0.00803667061202	0.000142613607893	0.00418158426479	8.24281123016e-05	3.9141292246e-05	0.00434844114506	0.000863428998933	3.79568394297e-07	0.00331775539079	0.00577288575933	0.00321466264354	5.04883994631e-05	1.13471072171e-05	0.00994274334851	0.00881767149865	0.00352415343838	0.000835634813904	0.00421352397763	0.0032575698952	4.32868200556e-05	0.00353550054559	0.00499452486426	0.000146759135703	0.00799338379197	0.000927760022334	0.000824287706687	0.00417023715758	0.00584827211781	0.000103851884042	0.00809685610761	0.00352415343838	0.00577250619093	0.00417061672597	0.00424600308446	0.00577250619093	0.00325342436739	0.00578385329815	3.79568394297e-07	7.61454952752e-05	0.00321428307514	0.00427370947322	0.00929665962931	0.00587597850658
ATR	1.24455607789e-05	1.26028191192e-06	6.25104623016e-05	3.44792850886e-05	4.28060267703e-05	7.45551799887e-05	1.16602095995e-06	2.84881756259e-07	1.78957835776e-05	1.45396483837e-06	1.26392437054e-05	4.00843091831e-07	3.06582139858e-07	1.62517613449e-05	1.63460222968e-05	4.17350205594e-05	1.70363447575e-05	1.62517613449e-05	1.68240235696e-05	6.23354544753e-05	3.3601208007e-05	0.000131233591778	0.00013956033346	4.97202944143e-07	4.16400058103e-05	4.17342667623e-05	1.23512998269e-05	5.8369768428e-05	1.70177064961e-05	9.55171442904e-05	1.67297626176e-05	5.00430267463e-05	4.78564682708e-07	1.26578819668e-05	9.79203276497e-05	9.90863486096e-05	9.42609519735e-08	1.64423821491e-05	9.42609519735e-08	3.34075250806e-05	1.35664176424e-06	4.18306266146e-05	0.000103843885972	1.90620804286e-07	5.9452601828e-07	0.000114650090267	1.47260309981e-06	4.95650254735e-05	9.8110948454e-05	3.36198462685e-05	3.33132641286e-05	2.90810624446e-05	4.56645639556e-05	2.87943878423e-07	5.78917671552e-05	6.24918240402e-05	4.19279496887e-05	3.35038849329e-05	1.90620804286e-07	0.000160124207811	1.35173207869e-05	1.67297626176e-05	1.25419206312e-05	9.82269097895e-05	4.19465879502e-05	3.06582139858e-07	1.69203834219e-05	0.000110271627477	1.65583434847e-05	1.16602095995e-06	2.86030611718e-05	1.23512998269e-05	9.79203276497e-05	6.22981411137e-05	1.65397052233e-05	1.74177823048e-05	1.67297626176e-05	6.22038801617e-05	9.82082715281e-05	9.80145886016e-05	6.22038801617e-05	7.49532699389e-05	6.2394500966e-05	2.87943878423e-07	3.82204830396e-07	4.16400058103e-05	0.000114172088995	7.89336427794e-05	7.84556415066e-05
